Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,140-7276,Minor,processing alarm,no dba group in /etc/group.,A group has not been set up for dba users.,From Oracle doc: Contact system administrator. Set up dba group in /ETC/GROUP.,-- not available --
Parvez,PCS,140-7277,Minor,processing alarm,spdde: illegal pid passed as argument.,A 0 PID was passed to SPDDE. This is an internal error.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7278,Minor,processing alarm,splon: ops$username exceeds buffer length.,SPLON constructed an OPS$USERNAME logon which exceeded the allocated buffer space.,"From Oracle doc: Use a shorter UNIX username, or use an Oracle username. Contact Oracle Customer Support.",-- not available --
Parvez,PCS,140-7279,Minor,processing alarm,"spcre: semget error, unable to get first semaphore set.",An error occurred when trying to get first semaphore set.,From Oracle doc: Check errno. Verify that system is configured to have semaphores. Verify that enough semaphores are available. Additional information indicates how many semaphores were requested.,-- not available --
Parvez,PCS,140-7280,Minor,processing alarm,slsget: unable to get process information.,The IOCTL call returned an error. Possible operating system error.,From Oracle doc: Check additional information for errno. Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7281,Minor,processing alarm,"slsget: times error, unable to get cpu time.",Times system call returned an error. Possible operating system error.,From Oracle doc: Check additional information returned. Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7282,Minor,processing alarm,sksaprd: %s overflow.,The internal buffer is not big enough to hold the archive control string.,From Oracle doc: Internal restriction. Try a shorter archive control string.,-- not available --
Parvez,PCS,140-7283,Minor,processing alarm,sksaprd: invalid volume size for archive destination.,An invalid volume size was specified.,From Oracle doc: Specify a valid volume size in archive control string.,-- not available --
Parvez,PCS,140-7284,Minor,processing alarm,sksaprd: volume size specification not terminated properly.,Some non-numeric text follows the volume size specification.,From Oracle doc: Enter a correct archive control string.,-- not available --
Parvez,PCS,140-7285,Minor,processing alarm,sksaprd: volume size should not be specified for a disk file.,Volume size was specified for a disk file.,"From Oracle doc: If you are archiving to a disk file, do not specify its volume size.",-- not available --
Parvez,PCS,140-7286,Minor,processing alarm,sksagdi: cannot obtain device information.,STAT on the log archiving device failed.,From Oracle doc: Check the returned OSD error for the reason of failure.,-- not available --
Parvez,PCS,140-7287,Minor,processing alarm,sksagdi: unsupported device for log archiving.,Log archiving to this device is unsupported.,From Oracle doc: Try log archiving to a supported device.,-- not available --
Parvez,PCS,140-7290,Minor,processing alarm,sksagdi: specified directory for archiving does not exist.,The specified path name is not a directory.,From Oracle doc: Verify that the archive destination directory exists.,-- not available --
Parvez,PCS,140-7303,Minor,processing alarm,ksmcsg: illegal database buffer size.,"The database buffer size must be a multiple of the database block size, and less than the maximum block size.",From Oracle doc: Verify that the DB_BLOCK_SIZE parameter is correct in INIT.ORA.,-- not available --
Parvez,PCS,140-7304,Minor,processing alarm,ksmcsg: illegal redo buffer size.,The redo buffer size must be a multiple of machine block size.,From Oracle doc: Verify that the LOG_BUFFER INIT.ORA parameter is correctly set.,-- not available --
Parvez,PCS,140-7305,Minor,processing alarm,ksmcsg: illegal database buffer size.,The database buffer size must be a multiple of the extended cache mapping size for indirect data buffers to be used.,"From Oracle doc: Verify that the DB_BLOCK_SIZE parameter is correct in INIT.ORA, or disable the USE_INDIRECT_DATA_BUFFERS parameter.",-- not available --
Parvez,PCS,140-7324,Minor,processing alarm,smpall: malloc error while allocating pga.,MALLOC library routine returned an error.,From Oracle doc: Check errno. Possibly out of swap space.,-- not available --
Parvez,PCS,140-7327,Minor,processing alarm,smpdal: attempt to destroy pga when it was not mapped.,SMPDAL was called when the PGA had not been previously created. This is an internal error.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7339,Minor,processing alarm,spcre: maximum number of semaphore sets exceeded.,The internal buffer is not big enough to hold the number of semaphore set identifiers requested.,From Oracle doc: Reconfigure operating system to have more semaphores per set.,-- not available --
Parvez,PCS,140-7345,Minor,processing alarm,The datafile name must not contain the %s '..'.,The specified datafile name contains '..'.,From Oracle doc: Correct the datafile name and retry the operation.,-- not available --
Parvez,PCS,140-7390,Minor,processing alarm,"sftopn: translate error, unable to translate file name.",An error occurred while expanding the file name to open. Additional information returns error generated in translation routine.,From Oracle doc: Look up additional error code for further information.,-- not available --
Parvez,PCS,140-7391,Minor,processing alarm,"sftopn: fopen error, unable to open text file.",FOPEN library routine returned an error.,From Oracle doc: Verify existence and permissions.,-- not available --
Parvez,PCS,140-7392,Minor,processing alarm,"sftcls: fclose error, unable to close text file.",FCLOSE library routine returned an error.,From Oracle doc: Possible internal Oracle error.,-- not available --
Parvez,PCS,140-7400,Minor,processing alarm,slemtr: translated name for the message file is too long.,The name for the message file overflows internal buffer.,From Oracle doc: Try making the complete path-name of the message file shorter by reorganizing the directory hierarchy.,-- not available --
Parvez,PCS,140-7401,Minor,processing alarm,sptrap: cannot restore user exception handlers.,The system failed to restore user exception handlers.,From Oracle doc: Check errno and sercose[0] for the signal number that failed.,-- not available --
Parvez,PCS,140-7402,Minor,processing alarm,sprst: cannot restore user signal handler.,The system failed to restore user signal handlers.,From Oracle doc: Check errno and sercose[0] for the signal number that failed.,-- not available --
Parvez,PCS,140-7403,Minor,processing alarm,sfanfy: db_writers parameter not valid.,The DB_WRITERS parameter in INIT.ORA exceeds the system-dependent maximum or is less than 0.,From Oracle doc: Change the DB_WRITERS parameter in INIT.ORA.,-- not available --
Parvez,PCS,140-7404,Minor,processing alarm,sfareq: Timeout occurred waiting for request to complete.,The master database writer timed out waiting for a write or close to complete. One of the database writers may have stopped running.,From Oracle doc: Check all database writer trace files. Shut down the database and try to warm start.,-- not available --
Parvez,PCS,140-7406,Minor,processing alarm,slbtpd: invalid number.,An impossible request for binary to decimal conversion was made.,From Oracle doc: This conversion cannot be performed.,-- not available --
Parvez,PCS,140-7407,Minor,processing alarm,slbtpd: invalid exponent.,An impossible request for binary to decimal conversion was made.,From Oracle doc: This conversion cannot be performed.,-- not available --
Parvez,PCS,140-7408,Minor,processing alarm,slbtpd: overflow while converting to packed decimal.,An impossible request for binary to decimal conversion was made.,From Oracle doc: This conversion cannot be performed.,-- not available --
Parvez,PCS,140-7409,Minor,processing alarm,slpdtb: invalid packed decimal nibble.,An impossible request for decimal to binary conversion was made.,From Oracle doc: This conversion cannot be performed.,-- not available --
Parvez,PCS,140-7410,Minor,processing alarm,slpdtb: number too large for supplied buffer.,An impossible request for decimal to binary conversion was made.,From Oracle doc: This conversion cannot be performed.,-- not available --
Parvez,PCS,140-7411,Minor,processing alarm,slgfn: full path name too big for supplied buffer.,The supplied buffer is not big enough to hold the full path name.,From Oracle doc: The construction of the full path name cannot be performed.,-- not available --
Parvez,PCS,140-7412,Minor,processing alarm,sfaslv: Error getting entry in asynchronous write array.,One of the database writer processes could not locate its entry in the SGA.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7415,Minor,processing alarm,slpath: allocation of memory buffer failed.,MALLOC() failed to allocate buffer for storing ORACLE_PATH.,From Oracle doc: System has run out of heap space. Additional information indicates errno.,-- not available --
Parvez,PCS,140-7416,Minor,processing alarm,slpath: pathname construction failed; lack of output buffer space.,The SLPATH routine is given a maximum length buffer to expand the name into. An overflow of this buffer occurred. This may be an internal error.,From Oracle doc: Check output buffer length stored in sercose[0] and constructed path name length in sercose[1].,-- not available --
Parvez,PCS,140-7417,Minor,processing alarm,sfareq: One or more database writers not active.,One or more of the database writer processes is no longer running.,From Oracle doc: Check the trace files for the database writers. Shut down the database and try to warm start.,-- not available --
Parvez,PCS,140-7418,Minor,processing alarm,sfareq: Database writer got error in timing function.,An error occurred when the database writer called the system timing function.,From Oracle doc: Check the database writer trace file. Shut down the database and try to warm start.,-- not available --
Parvez,PCS,140-7419,Minor,processing alarm,sfareq: Database writer got error in timing function.,An error occurred when the database writer called the system timing function.,From Oracle doc: Check the database writer trace file. Shut down the database and try to warm start.,-- not available --
Parvez,PCS,140-7425,Minor,processing alarm,sdpri: error %s in translating dump file location.,An Oracle error occurred when translating the location of the dump file.,From Oracle doc: Check the Oracle error code.,-- not available --
Parvez,PCS,140-7426,Minor,processing alarm,spstp: cannot obtain the location of dbs directory.,An Oracle error occurred when translating the location of the DBS directory.,From Oracle doc: Check additional information for the error returned from SLTLN.,-- not available --
Parvez,PCS,140-7427,Minor,processing alarm,spstp: cannot change directory to dbs.,CHDIR system call returned an error. Possible permission problems.,From Oracle doc: Check additional information for the operating system error code.,-- not available --
Parvez,PCS,140-7431,Minor,processing alarm,fork failed,The server process was unable to fork a child process.,"From Oracle doc: Verify that there are enough system resources to support another process. The user or system process limit may have been exceeded, or the amount of free memory or swap space may be temporarily insufficient.",-- not available --
Parvez,PCS,140-7432,Minor,processing alarm,unable to perform nested sleep,An attempt was made to make a process sleep when it was already sleeping. This platform does not support this capability.,From Oracle doc: Try the SLEEP command when the process is not sleeping.,-- not available --
Parvez,PCS,140-7440,Minor,processing alarm,WMON process terminated with error,The wakeup monitor process died.,From Oracle doc: Warm start instance.,-- not available --
Parvez,PCS,140-7441,Minor,processing alarm,function address must be aligned on %s byte boundary,An improperly aligned function address was specified.,From Oracle doc: Use a properly aligned function address.,-- not available --
Parvez,PCS,140-7442,Minor,processing alarm,function address must be in the range %s to %s,An invalid function address was specified.,From Oracle doc: Use a valid function address.,-- not available --
Parvez,PCS,140-7443,Minor,processing alarm,function %s not found,An invalid function name was specified.,From Oracle doc: Use a valid function name.,-- not available --
Parvez,PCS,140-7444,Minor,processing alarm,function address %s is not readable,An invalid function name/address was specified.,From Oracle doc: Use a valid function name/address.,-- not available --
Parvez,PCS,140-7445,Minor,processing alarm,exception encountered: core dump [%s] [%s] [%s] [%s] [%s] [%s],An operating system exception occurred which should result in the creation of a core file. This is an internal error.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7446,Minor,processing alarm,sdnfy: bad value '%s' for parameter %s.,The directory specified as the value for the stated parameter could not be used.,From Oracle doc: Make sure the directory you have specified is a valid directory/file specification.,-- not available --
Parvez,PCS,140-7447,Minor,processing alarm,ssarena: usinit failed.,Oracle failed to create a shared arena file.,From Oracle doc: Use SERCERRNO field to determine cause of failure.,-- not available --
Parvez,PCS,140-7448,Minor,processing alarm,ssarena: maximum number of shared arenas exceeded.,Oracle attempted to create more shared arena files than permitted.,From Oracle doc: Raise the value for MAX_ARENA in INIT.ORA.,-- not available --
Parvez,PCS,140-7449,Minor,processing alarm,sc: usnewlock failed.,Oracle failed to acquire a shared arena lock.,From Oracle doc: Check result code in SERCERRNO to determine the cause of failure.,-- not available --
Parvez,PCS,140-7451,Minor,processing alarm,slskstat: unable to obtain load information.,KSTAT library returned an error. Possible operating system failure.,From Oracle doc: Check result code in sercose[0] for more information.,-- not available --
Parvez,PCS,140-7452,Minor,processing alarm,specified resource manager plan does not exist in the data dictionary,User tried to load a resource manager plan that does not exist.,From Oracle doc: Use a resource manager plan that exists in the data dictionary.,-- not available --
Parvez,PCS,140-7453,Minor,processing alarm,requested resource manager plan schema does not contain OTHER_GROUPS,User tried to load a resource manager plan schema that does not contain the OTHER_GROUPS group.,From Oracle doc: Use a resource manager plan schema that contains the OTHER_GROUPS group.,-- not available --
Parvez,PCS,140-7468,Minor,processing alarm,"spwat: mset wrror, unable to set semaphore.",The MSET routine returned an error. Semaphore may not exist.,From Oracle doc: Check result code in SERCERRNO. Semaphore number returned in sercose[0].,-- not available --
Parvez,PCS,140-7469,Minor,processing alarm,"sppst: mclear error, unable to clear semaphore.",The MCLEAR routine returned an error. Semaphore may not exist.,From Oracle doc: Check result code in SERCERRNO. Semaphore number returned in sercose[0].,-- not available --
Parvez,PCS,140-7470,Minor,processing alarm,snclget: cannot get cluster number.,The CLUSTER_STATUS system call failed to get status information for the current cluster.,From Oracle doc: Check result code in sercose[0]. Possible operating system failure.,-- not available --
Parvez,PCS,140-7471,Minor,processing alarm,snclrd: name translation error of sgadef.dbf file name.,Unable to expand out ?/dbs/sgadef@.dbf file name.,From Oracle doc: Verify $(ORACLE_HOME) and $(ORACLE_SID) are properly set. Check error number returned from SLTLN in sercose[0].,-- not available --
Parvez,PCS,140-7472,Minor,processing alarm,snclrd: open error when opening sgadef.dbf file.,Open failed when opening the file ?/dbs/sgadef@.dbf.,From Oracle doc: Check errno. Possible permission problem. Verify that the file ?/dbs/sgadef@.dbf exists.,-- not available --
Parvez,PCS,140-7473,Minor,processing alarm,snclrd: read error when trying to read sgadef.dbf file.,Read had an error when reading SGADEF.DBF file.,"From Oracle doc: Check errno. Verify file exists, and is correct size.",-- not available --
Parvez,PCS,140-7474,Minor,processing alarm,"snclrd: close error, unable to close sgadef.dbf file.","An error occurred in close, while closing the file ?/dbs/sgadef@.dbf.",From Oracle doc: Check errno. Possible operating system error.,-- not available --
Parvez,PCS,140-7475,Minor,processing alarm,slsget: cannot get vm statistics.,The VM_STATISTICS system call failed to get virtual memory statistics.,From Oracle doc: Check result code in SERCERRNO. Possible operating system failure.,-- not available --
Parvez,PCS,140-7476,Minor,processing alarm,slsget: cannot get mapped memory statistics.,The VM_MAPMEM system call failed to get mapped memory statistics.,From Oracle doc: Check result code in SERCERRNO. Possible operating system failure.,-- not available --
Parvez,PCS,140-7477,Minor,processing alarm,scgcmn: lock manager not initialized.,Lock manager must be initialized before converting locks.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7478,Minor,processing alarm,scgcmn: cannot get lock status.,LM_STAT_LOCK failed.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7479,Minor,processing alarm,scgcmn: cannot open or convert lock.,LM_OPEN or LM_OPEN_CONVERT failed.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7480,Minor,processing alarm,snchmod: cannot change permissions on ?/dbs/sgalm.dbf.,"When creating an instance, SNLMINI could not change the permissions on ?/dbs/sgalm.dbf.",From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7481,Minor,processing alarm,snlmatt: cannot attach to lock manager instance.,LM_ATTACH failed to attach to Lock Manager instance.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7482,Minor,processing alarm,snlmini: cannot create lock manager instance.,LM_CREATE failed to create Lock Manager instance.,"From Oracle doc: Check permissions on ?/dbs, and remove ?/dbs/sgalm.dbf if it exists, then retry.",-- not available --
Parvez,PCS,140-7483,Minor,processing alarm,snlkget: cannot convert(get) lock.,LM_CONVERT failed to convert(get) lock.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7484,Minor,processing alarm,snlkput: cannot convert(put) lock.,LM_CONVERT failed to put lock value.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7485,Minor,processing alarm,scg_get_inst: cannot open instance number lock.,LM_OPEN failed.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7486,Minor,processing alarm,scg_get_inst: cannot convert(get) instance number lock.,LM_CONVERT failed to get lock value.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7487,Minor,processing alarm,scg_init_lm: cannot create lock manager instance.,LM_CREATE failed.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7488,Minor,processing alarm,scgrcl: lock manager not initialized.,Lock manager must be initialized before releasing locks.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7489,Minor,processing alarm,scgrcl: cannot get lock status.,LM_STAT_LOCK failed during lock release/cancel.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7490,Minor,processing alarm,scgrcl: cannot convert lock.,LM_CONVERT failed during lock release/cancel.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7491,Minor,processing alarm,scgrcl: cannot cancel lock request.,LM_CANCEL failed during lock release/cancel.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7492,Minor,processing alarm,scgrcl: cannot close lock.,LM_CLOSE failed during lock release/cancel.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7493,Minor,processing alarm,scgrcl: lock manager error.,An error was encountered releasing the lock.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7494,Minor,processing alarm,scgcm: unexpected error.,Unknown or unexpected error code.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7495,Minor,processing alarm,spwat: lm_wait failed.,LM_WAIT failed.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7496,Minor,processing alarm,sppst: lm_post failed.,LM_POST failed.,From Oracle doc: Check result code in SERCERRNO. Possible Lock Manager failure.,-- not available --
Parvez,PCS,140-7497,Minor,processing alarm,sdpri: cannot create trace file '%s'; errno = %s.,The trace file cannot be created for writing.,From Oracle doc: Check if the dump directory exists and whether it is writable.,-- not available --
Parvez,PCS,140-7498,Minor,processing alarm,spstp: Unable to open /dev/resched.,The rescheduling driver /dev/resched is not found or is not working properly.,From Oracle doc: Check installation of the Oracle rescheduling driver in the AIX kernel.,-- not available --
Parvez,PCS,140-7499,Minor,processing alarm,spglk: Cannot reschedule.,The rescheduling driver /dev/resched is not open. This is an internal error and should not occur.,"From Oracle doc: Contact Oracle Customer Support.
",-- not available --
Parvez,PCS,140-7500,Minor,processing alarm,scglaa: $cantim unexpected return,VMS system service $CANTIM returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7501,Minor,processing alarm,scgtoa: $deq unexpected return,VMS system service $DEQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7502,Minor,processing alarm,scgcmn: $enq unexpected return,VMS system service $ENQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7503,Minor,processing alarm,scgcmn: $setimr unexpected return,VMS system service $SETIMR returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7504,Minor,processing alarm,scgcmn: $hiber unexpected return,VMS system service $HIBER returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7505,Minor,processing alarm,scggt: $enq parent lock unexpected return,VMS system service $ENQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7506,Minor,processing alarm,scgrl: $deq unexpected return on lockid %s,VMS system service $DEQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7507,Minor,processing alarm,scgcm: unexpected lock status condition,A global locking system service returned an unexpected value.,"From Oracle doc: Check for system error message (if any) and refer to VMS documentation, or contact Oracle Customer Support.",-- not available --
Parvez,PCS,140-7508,Minor,processing alarm,scgfal: $deq all unexpected return,VMS system service $DEQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7509,Minor,processing alarm,scgfal: $deq parent lock unexpected return,VMS system service $DEQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7510,Minor,processing alarm,scgbrm: $getlki unexpected return on lockid %s,VMS system service $GETLKI returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7511,Minor,processing alarm,sscggtl: $enq unexpected return for master termination lock,VMS system service $ENQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7512,Minor,processing alarm,sscggtl: $enq unexpected return for client termination lock,VMS system service $ENQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7513,Minor,processing alarm,sscgctl: $deq unexpected return on cancel of term. lock,VMS system service $DEQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7514,Minor,processing alarm,scgcan: $deq unexpected return while canceling lock,VMS system service $DEQ returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7534,Minor,processing alarm,scginq: $getlki unexpected return on lockid %s,VMS system service $GETLKI returned an unexpected value.,From Oracle doc: Check for system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7548,Minor,processing alarm,sftopn: Maximum number of files already open,Too many test files open. This is an internal error.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7549,Minor,processing alarm,sftopn: $OPEN failure,VMS system service $OPEN failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7550,Minor,processing alarm,sftopn: $CONNECT failure,VMS system service $OPEN failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7551,Minor,processing alarm,sftcls: $CLOSE failure,VMS system service $CLOSE failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7552,Minor,processing alarm,sftget: $GET failure,VMS system service $GET failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7561,Minor,processing alarm,szprv: $IDTOASC failure,VMS system service $IDTOASC failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7562,Minor,processing alarm,sldext: extension must be 3 characters,An extension was found but it is of improper length. This is an internal error.,From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7563,Minor,processing alarm,sldext: $PARSE failure,VMS system service $PARSE failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7564,Minor,processing alarm,sldext: wildcard in filename or extension,A wildcard was used in the file name.,From Oracle doc: Re-enter the file name completely.,-- not available --
Parvez,PCS,140-7565,Minor,processing alarm,sldext: $SEARCH failure,VMS system service $SEARCH failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7568,Minor,processing alarm,slspool: $OPEN failure,VMS system service $OPEN failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7569,Minor,processing alarm,slspool: $CLOSE failure,VMS system service $CLOSE failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7570,Minor,processing alarm,szrfc: $IDTOASC failure,VMS system service $IDTOASC failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7571,Minor,processing alarm,szrfc: $FIND_HELD failure,VMS system service $FIND_HELD failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7572,Minor,processing alarm,szrfc: insufficient rolename buffer space,An OS role name was too long.,From Oracle doc: Re-define the role name to be of correct length.,-- not available --
Parvez,PCS,140-7573,Minor,processing alarm,slkhst: could not perform host operation,VMS system service LIB$SPAWN failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7574,Minor,processing alarm,szrfc: $GETUAI failure,VMS system service $GETUAI failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7576,Minor,processing alarm,sspexst: $GETJPIW failure on process ID %s,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7577,Minor,processing alarm,no such user in authorization file,"An attempt was made to set an INTERNAL password (for either DBA or OPER privilege), but the corresponding VMS account (either ORA_sid_DBA or ORA_sid_OPER) has not been created yet.",From Oracle doc: Add a VMS account for ORA_sid_DBA and/or ORA_sid_OPER before trying to set a password for them.,-- not available --
Parvez,PCS,140-7578,Minor,processing alarm,szprv: $FIND_HELD failure,VMS system service $FIND_HELD failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7579,Minor,processing alarm,spini: $DCLEXH failure,VMS system service $PARSE failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7580,Minor,processing alarm,spstp: $GETJPIW failure,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7581,Minor,processing alarm,spstp: cannot derive SID from unexpected process name,A background process did not have name of correct form.,"From Oracle doc: If the job name was changed, restore it. Otherwise, this is an internal error; report it to Oracle Customer Support.",-- not available --
Parvez,PCS,140-7582,Minor,processing alarm,spstp: ORA_SID has illegal value,The ORA_SID must exist and be less than 6 characters.,From Oracle doc: Consult the VMS Installation guide for information on setting the SID.,-- not available --
Parvez,PCS,140-7584,Minor,processing alarm,spdcr: invalid value for ORA_sid_(proc_)PQL$_item,A logical name used to set a detached process quota value has an invalid value (probably non-numeric).,"From Oracle doc: Examine the values of these logical names, correct the one in error, and retry.",-- not available --
Parvez,PCS,140-7585,Minor,processing alarm,spdcr: $PARSE failure,VMS system service $PARSE failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7586,Minor,processing alarm,spdcr: $SEARCH failure,VMS system service $SEARCH failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7587,Minor,processing alarm,spdcr: $CREPRC failure,VMS system service $CREPRC failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7588,Minor,processing alarm,spdcr: $GETJPIW get image name failure,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7589,Minor,processing alarm,spdde: system ID not set,The logical name ORA_SID does not translate to a valid value.,"From Oracle doc: Check the value of ORA_SID in the process that gets the error, and correct the installation or command procedures that caused ORA_SID to be set incorrectly.",-- not available --
Parvez,PCS,140-7590,Minor,processing alarm,spdde: $DELPRC failure,VMS system service $DELPRC failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7591,Minor,processing alarm,spdde: $GETJPIW failure,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7592,Minor,processing alarm,sspgprv: Error obtaining required privileges,"While obtaining needed privileges, an error was returned from SYS$SETPRV. This is an internal error.",From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7593,Minor,processing alarm,ssprprv: Error release privileges,"While releasing privileges, an error was returned from SYS$SETPRV. This is an internal error.",From Oracle doc: Contact Oracle Customer Support.,-- not available --
Parvez,PCS,140-7594,Minor,processing alarm,spiip: $GETJPIW failure,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7595,Minor,processing alarm,sppid: $GETJPIW failure,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7596,Minor,processing alarm,sptpa: $GETJPIW failure,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
Parvez,PCS,140-7597,Minor,processing alarm,spguns: $GETJPIW failure,VMS system service $GETJPIW failed.,From Oracle doc: Examine system error message and refer to VMS documentation.,-- not available --
