Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,140-63,Warning,indeterminate,maximum number of LOG_FILES exceeded,The value of the LOG_FILES initialization parameter was exceeded.,From Oracle doc: Increase the value of the LOG_FILES initialization parameter and restart Oracle. The value of the parameter needs to be as large as the highest number of log files that currently exist rather than just the count of logs that exist.,-- not available --
Parvez,PCS,140-64,Minor,processing alarm,"object is too large to allocate on this O/S (%s,%s)",An initialization parameter was set to a value that required allocating more contiguous space than can be allocated on this operating system.,From Oracle doc: Reduce the value of the initialization parameter.,-- not available --
Parvez,PCS,140-65,Minor,processing alarm,initialization of FIXED_DATE failed,The FIXED_DATE string was not in date format yyyy-mm-dd:hh24:mi:ss.,From Oracle doc: Make sure the initialization parameter is in the correct date format.,-- not available --
Parvez,PCS,140-66,Warning,indeterminate,LOG_FILES is %s but needs to be %s to be compatible,The maximum number of log files supported by this instance is not the same as for the other instances. All instances must be able to open all the files any instance can open.,From Oracle doc: Change the value of the LOG_FILES initialization parameter to be compatible.,-- not available --
Parvez,PCS,140-67,Minor,processing alarm,invalid value %s for parameter %s; must be at least %s,The value for the initialization parameter is invalid.,From Oracle doc: Choose a value as indicated by the message.,-- not available --
Parvez,PCS,140-68,Minor,processing alarm,"invalid value %s for parameter %s, must be between %s and %s",The value for the initialization parameter is invalid.,From Oracle doc: Choose a value as indicated by the message.,-- not available --
Parvez,PCS,140-69,Minor,processing alarm,cannot acquire lock -- table locks disabled for %s,"A command was issued that tried to lock the table indicated in the message. Examples of commands that can lock tables are: LOCK TABLE, ALTER TABLE... ADD (...), and so on.","From Oracle doc: Use the ALTER TABLE... ENABLE TABLE LOCK command, and retry the command.",-- not available --
Parvez,PCS,140-70,Minor,processing alarm,command %s is not valid,An invalid debugger command was specified.,From Oracle doc: Type HELP to see the list of available commands.,-- not available --
Parvez,PCS,140-71,Minor,processing alarm,process number must be between 1 and %s,An invalid process number was specified.,From Oracle doc: Specify a valid process number.,-- not available --
Parvez,PCS,140-72,Minor,processing alarm,"process ""%s"" is not active",An invalid process was specified.,From Oracle doc: Specify a valid process.,-- not available --
Parvez,PCS,140-73,Minor,processing alarm,command %s takes between %s and %s argument(s),An incorrect number of arguments was specified.,From Oracle doc: Specify the correct number of arguments. Type HELP to see the list of commands and their syntax.,-- not available --
Parvez,PCS,140-74,Minor,processing alarm,no process has been specified,No debug process has been specified.,From Oracle doc: Specify a valid process.,-- not available --
Parvez,PCS,140-75,Minor,processing alarm,"process ""%s"" not found in this instance",The specified process was not logged on to the current instance.,From Oracle doc: Specify a valid process.,-- not available --
Parvez,PCS,140-76,Warning,indeterminate,dump %s not found,An attempt was made to invoke a dump that does not exist.,From Oracle doc: Type DUMPLIST to see the list of available dumps.,-- not available --
Parvez,PCS,140-77,Warning,indeterminate,dump %s is not valid,An attempt was made to invoke an invalid dump.,From Oracle doc: Try another dump.,-- not available --
Parvez,PCS,140-78,Warning,indeterminate,cannot dump variables by name,An attempt was made to dump a variable by name on a system that does not support this feature.,From Oracle doc: Try the PEEK command.,-- not available --
Parvez,PCS,140-79,Warning,indeterminate,variable %s not found,An attempt was made to dump a variable that does not exist.,From Oracle doc: Use a valid variable name.,-- not available --
Parvez,PCS,140-80,Minor,processing alarm,invalid global area specified by level %s,An attempt was made to dump an invalid global area.,"From Oracle doc: Use level 1 for the PGA, 2 for the SGA, and 3 for the UGA. Use extra + level to dump global area level as well as extra bytes for every pointer; extra must be a multiple of 4.",-- not available --
Parvez,PCS,140-81,Minor,processing alarm,"address range [%s, %s) is not readable",An attempt was made to read/write an invalid memory address range.,From Oracle doc: Try another address or length.,-- not available --
Parvez,PCS,140-82,Minor,processing alarm,"memory size of %s is not in valid set of [1], [2], [4]stringstringstringstring%s",An invalid length was specified for the POKE command.,"From Oracle doc: Use a valid length (either 1, 2, 4, or possibly 8).",-- not available --
Parvez,PCS,140-83,Minor,processing alarm,warning: possibly corrupt SGA mapped,"Even though there may be SGA corruptions, the SGA was mapped.",From Oracle doc: Use the DUMPSGA command to dump the SGA.,-- not available --
Parvez,PCS,140-84,Minor,processing alarm,"global area must be PGA, SGA, or UGA",An attempt was made to dump an invalid global area.,"From Oracle doc: Specify either PGA, SGA, or UGA.",-- not available --
Parvez,PCS,140-85,Warning,indeterminate,current call does not exist,An invalid attempt was made to dump the current call heap.,From Oracle doc: Wait until the process starts a call.,-- not available --
Parvez,PCS,140-86,Warning,indeterminate,user call does not exist,An invalid attempt was made to dump the user call heap.,From Oracle doc: Wait until the process starts a call.,-- not available --
Parvez,PCS,140-87,Minor,processing alarm,command cannot be executed on remote instance,An OPS command was issued for a non-OPS ORADEBUG command.,From Oracle doc: Issue the command without the OPS syntax.,-- not available --
Parvez,PCS,140-88,Minor,processing alarm,command cannot be executed by MTS server,A debug command was issued on an MTS server.,From Oracle doc: Reissue the command using a dedicated server.,-- not available --
Parvez,PCS,140-89,Minor,processing alarm,invalid instance number in ORADEBUG command,An invalid instance number was specified in an OPS ORADEBUG command.,From Oracle doc: Reissue the command with valid instance numbers.,-- not available --
Parvez,PCS,140-90,Minor,processing alarm,failed to allocate memory for OPS ORADEBUG command,Could not allocate the memory needed to execute parallel ORADEBUG.,From Oracle doc: Reissue the command on each instance with single-instance ORADEBUG.,-- not available --
Parvez,PCS,140-91,Minor,processing alarm,LARGE_POOL_SIZE must be at least %s,The value of LARGE_POOL_SIZE is below the minimum size.,From Oracle doc: Increase the value of LARGE_POOL_SIZE past the minimum size.,-- not available --
Parvez,PCS,140-92,Minor,processing alarm,LARGE_POOL_SIZE must be greater than LARGE_POOL_MIN_ALLOC,The value of LARGE_POOL_SIZE is less than the value of LARGE_POOL_MIN_ALLOC.,From Oracle doc: Increase the value of LARGE_POOL_SIZE past the value of LARGE_POOL_MIN_ALLOC.,-- not available --
Parvez,PCS,140-93,Minor,processing alarm,%s must be between %s and %s,The parameter value is not in a valid range.,From Oracle doc: Modify the parameter value to be within the specified range.,-- not available --
Parvez,PCS,140-94,Minor,processing alarm,%s requires an integer value,The parameter value is not an integer.,From Oracle doc: Modify the parameter value to be an integer.,-- not available --
Parvez,PCS,140-96,Minor,processing alarm,"invalid value %s for parameter %s, must be from among %s",The value for the initialization parameter is invalid.,From Oracle doc: Choose a value as indicated by the message.,-- not available --
Parvez,PCS,140-97,Minor,processing alarm,use of Oracle SQL feature not in SQL92 %s Level,An attempt was made to use an Oracle SQL feature that is not compliant with the SQL92 standard.,From Oracle doc: Do not use the feature or use the ALTER SESSION SET FLAGGER command to set the appropriate level of SQL92 compliance.,-- not available --
Parvez,PCS,140-99,Minor,processing alarm,"timed out while waiting for resource, potential PDML deadlock",The resource needed by the transaction was busy. The PDML transaction could not acquire the resource within the specified amount of time. This indicates potential deadlock involving this PDML transaction and other transactions currently running in the system.,From Oracle doc: Increase the value of the PARALLEL_TRANSACTION_RESOURCE_TIMEOUT parameter; then retry the operation.,-- not available --
Parvez,PCS,140-100,Minor,processing alarm,no data found,An application made a reference to unknown or inaccessible data.,From Oracle doc: Handle this condition within the application or make appropriate modifications to the application code.,-- not available --
Parvez,PCS,140-101,Minor,processing alarm,invalid specification for system parameter MTS_DISPATCHERS,The syntax for the MTS_DISPATCHERS parameter is incorrect.,From Oracle doc: Enter the MTS_DISPATCHERS parameter into the initialization parameter file with the correct syntax and then shut down and restart the instance.,-- not available --
